Title: The Star Formation Histories of Local Group Dwarf Galaxies I. 
       Hubble Space Telescope / Wide Field Planetary Camera 2 Observations 
Authors: Weisz D.R., Dolphin A.E., Skillman E.D., Holtzman J., 
         Gilbert K.M., Dalcanton J.J., Williams B.F. 
Table: Star Formation Histories of each WFPC2 Field
================================================================================
Byte-by-byte Description of file: apj495810t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label     Explanations
--------------------------------------------------------------------------------
   1-  17 A17    ---         ID        Galaxy identifier
  19-  24 A6     ---         Field     Field identifier
  26-  31 F6.3   10+6solMass TMass     Total mass formed (1)
1195-1198 F4.2   [yr]        f6.9      Mass fraction formed prior to log(t) = 6.9
                                         from best fit SFH (2)
1200-1202 F3.1   [yr]        Urf6.9    Random uncertainty 84th percentile in f6.9
1204-1207 F4.2   [yr]        Utf6.9    Total uncertainty 84th percentile in f6.9
1209-1212 F4.2   [yr]        Lrf6.9    Random uncertainty 16th percentile in f6.9
1214-1217 F4.2   [yr]        Ltf6.9    Total uncertainty 16th percentile in f6.9
1219-1222 F4.2   [yr]        f6.8      Mass fraction formed prior to log(t) = 6.8
                                         from best fit SFH (2)
1224-1226 F3.1   [yr]        Urf6.8    Random uncertainty 84th percentile in f6.8
1228-1231 F4.2   [yr]        Utf6.8    Total uncertainty 84th percentile in f6.8
1233-1236 F4.2   [yr]        Lrf6.8    Random uncertainty 16th percentile in f6.8
1238-1241 F4.2   [yr]        Ltf6.8    Total uncertainty 16th percentile in f6.8
1243-1246 F4.2   [yr]        f6.7      Mass fraction formed prior to log(t) = 6.7
                                         from best fit SFH (2)
1248-1251 F4.2   [yr]        Urf6.7    Random uncertainty 84th percentile in f6.7
1253-1256 F4.2   [yr]        Utf6.7    Total uncertainty 84th percentile in f6.7
1258-1260 F3.1   [yr]        Lrf6.7    Random uncertainty 16th percentile in f6.7
1262-1264 F3.1   [yr]        Ltf6.7    Total uncertainty 16th percentile in f6.7
1266-1268 F3.1   [yr]        f6.6      Mass fraction formed prior to log(t) = 6.6
                                         from best fit SFH (2)
1270-1272 F3.1   [yr]        Urf6.6    Random uncertainty 84th percentile in f6.6
1274-1276 F3.1   [yr]        Utf6.6    Total uncertainty 84th percentile in f6.6
1278-1280 F3.1   [yr]        Lrf6.6    Random uncertainty 16th percentile in f6.6
1282-1285 F4.2   [yr]        Ltf6.6    Total uncertainty 16th percentile in f6.6
--------------------------------------------------------------------------------
Note (1): Per field computed by integrating the SFH. Note that this quantity is
          not the present day stellar mass, as it does not account for stellar 
          evolutions effects (e.g., mass loss, stellar death, etc). 
Note (2): By construction, the cumulative SFHs are 0 at log(t) = 10.15 
          and 1 at log(t) = 6.6.
--------------------------------------------------------------------------------
